,Area Code,Local Authority Name,Area name,Area of Domestic Buildings,Area of Domestic Gardens,Area of Non Domestic Buildings,Area of Road,Area of Rail,Area of Path,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Total Area of All Land Types,Area of Admin Geography,% Area of Domestic Buildings,% Area of Domestic Gardens,% Area of Non Domestic Buildings,% Area of Road,% Area of Rail,% Area of Path,% Area of Greenspace,% Area of Water,% Area of Other Land Uses,% Area of Unclassified Land,% Total Area of All Land Types,Quality of Fit Indicator,Cluster
423,00AZGQ,Lewisham,Lewisham Central,272.07,508.56,204.55,402.44,84.08,14.48,301.65,19.27,282.26,0.0,2089.36,2056.06,13.0,24.3,9.8,19.3,4.0,0.7,14.4,0.9,13.5,0.0,100.0,1.62,0
424,00AZGR,Lewisham,New Cross,189.77,240.8,204.8,304.0,186.69,24.66,363.65,13.76,319.66,0.0,1847.8,1816.61,10.3,13.0,11.1,16.5,10.1,1.3,19.7,0.7,17.3,0.0,100.0,1.72,0
425,00AZGS,Lewisham,Perry Vale,274.26,671.22,63.04,311.96,13.85,12.38,207.37,0.0,128.78,0.0,1682.86,1684.47,16.3,39.9,3.7,18.5,0.8,0.7,12.3,0.0,7.7,0.0,100.0,-0.1,2
426,00AZGT,Lewisham,Rushey Green,273.74,492.34,103.84,284.24,15.71,7.72,434.48,8.34,147.35,0.0,1767.77,1780.91,15.5,27.9,5.9,16.1,0.9,0.4,24.6,0.5,8.3,0.0,100.0,-0.74,2
427,00AZGU,Lewisham,Sydenham,276.29,615.05,64.13,350.31,12.9,27.78,266.96,1.77,112.97,0.0,1728.15,1744.61,16.0,35.6,3.7,20.3,0.7,1.6,15.4,0.1,6.5,0.0,100.0,-0.94,2
428,00AZGW,Lewisham,Telegraph Hill,234.33,474.77,75.62,298.9,45.19,20.26,286.47,0.33,126.36,0.0,1562.25,1543.99,15.0,30.4,4.8,19.1,2.9,1.3,18.3,0.0,8.1,0.0,100.0,1.18,2
429,00AZGX,Lewisham,Whitefoot,214.68,726.16,78.72,329.84,0.0,20.16,618.9,4.01,190.04,0.0,2182.5,2223.64,9.8,33.3,3.6,15.1,0.0,0.9,28.4,0.2,8.7,0.0,100.0,-1.85,2
430,00BAFX,Merton,Abbey,169.51,279.92,234.9,264.46,7.23,17.39,212.8,3.82,205.21,0.0,1395.23,1392.65,12.1,20.1,16.8,19.0,0.5,1.2,15.3,0.3,14.7,0.0,100.0,0.19,0
431,00BAFY,Merton,Cannon Hill,192.16,683.46,47.03,241.97,10.46,15.84,889.61,8.3,127.58,0.0,2216.41,2224.02,8.7,30.8,2.1,10.9,0.5,0.7,40.1,0.4,5.8,0.0,100.0,-0.34,4
432,00BAFZ,Merton,Colliers Wood,176.44,319.02,76.4,191.68,3.11,10.0,149.83,12.59,156.99,0.0,1096.07,1111.29,16.1,29.1,7.0,17.5,0.3,0.9,13.7,1.1,14.3,0.0,100.0,-1.37,3
433,00BAGA,Merton,Cricket Green,167.51,384.46,224.76,306.37,33.58,39.21,1436.23,27.59,372.32,0.0,2992.03,2997.28,5.6,12.8,7.5,10.2,1.1,1.3,48.0,0.9,12.4,0.0,100.0,-0.18,4
434,00BAGB,Merton,Dundonald,197.13,407.67,67.41,208.77,113.27,12.83,119.47,0.22,60.81,0.0,1187.56,1151.02,16.6,34.3,5.7,17.6,9.5,1.1,10.1,0.0,5.1,0.0,100.0,3.17,2
435,00BAGC,Merton,Figge's Marsh,150.29,303.77,66.3,218.45,5.06,17.28,270.93,2.59,107.98,0.0,1142.66,1142.8,13.2,26.6,5.8,19.1,0.4,1.5,23.7,0.2,9.4,0.0,100.0,-0.01,2
436,00BAGD,Merton,Graveney,173.82,316.89,48.5,176.78,0.08,10.17,82.18,0.2,44.72,0.0,853.35,883.74,20.4,37.1,5.7,20.7,0.0,1.2,9.6,0.0,5.2,0.0,100.0,-3.44,3
437,00BAGE,Merton,Hillside,196.18,436.56,88.57,198.48,39.62,6.72,129.27,0.0,93.15,0.0,1188.54,1184.01,16.5,36.7,7.5,16.7,3.3,0.6,10.9,0.0,7.8,0.0,100.0,0.38,2
438,00BAGF,Merton,Lavender Fields,147.55,388.7,69.73,179.47,0.0,12.72,223.34,3.7,152.05,0.0,1177.26,1179.66,12.5,33.0,5.9,15.2,0.0,1.1,19.0,0.3,12.9,0.0,100.0,-0.2,2
439,00BAGG,Merton,Longthornton,166.42,462.02,54.85,198.04,1.96,12.19,480.92,0.15,90.65,0.0,1467.2,1481.36,11.3,31.5,3.7,13.5,0.1,0.8,32.8,0.0,6.2,0.0,100.0,-0.96,2
440,00BAGH,Merton,Lower Morden,161.82,536.02,86.47,213.88,0.0,31.12,612.91,6.93,159.23,0.0,1808.38,1808.06,8.9,29.6,4.8,11.8,0.0,1.7,33.9,0.4,8.8,0.0,100.0,0.02,2
441,00BAGJ,Merton,Merton Park,222.48,711.83,74.98,247.78,46.74,24.15,352.83,1.86,116.67,0.0,1799.33,1817.49,12.4,39.6,4.2,13.8,2.6,1.3,19.6,0.1,6.5,0.0,100.0,-1.0,2
442,00BAGK,Merton,Pollards Hill,174.8,428.85,50.57,251.22,0.0,16.98,1132.1,11.07,104.86,0.0,2170.45,2159.2,8.1,19.8,2.3,11.6,0.0,0.8,52.2,0.5,4.8,0.0,100.0,0.52,4
443,00BAGL,Merton,Ravensbury,170.88,539.31,54.87,246.81,9.85,25.59,628.32,56.38,116.12,0.0,1848.14,1838.24,9.2,29.2,3.0,13.4,0.5,1.4,34.0,3.1,6.3,0.0,100.0,0.54,2
444,00BAGM,Merton,Raynes Park,202.63,617.3,90.4,290.71,16.93,13.84,424.63,1.75,178.02,0.0,1836.21,1853.04,11.0,33.6,4.9,15.8,0.9,0.8,23.1,0.1,9.7,0.0,100.0,-0.91,2
445,00BAGN,Merton,St Helier,159.7,501.64,49.52,246.06,4.88,25.31,739.0,1.15,102.58,0.0,1829.85,1842.3,8.7,27.4,2.7,13.4,0.3,1.4,40.4,0.1,5.6,0.0,100.0,-0.68,2
446,00BAGP,Merton,Trinity,182.28,369.11,63.83,186.43,7.03,14.97,167.52,7.13,68.2,0.0,1066.51,1074.41,17.1,34.6,6.0,17.5,0.7,1.4,15.7,0.7,6.4,0.0,100.0,-0.74,2
