,Area Code,Local Authority Name,Area name,Area of Domestic Buildings,Area of Domestic Gardens,Area of Non Domestic Buildings,Area of Road,Area of Rail,Area of Path,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Total Area of All Land Types,Area of Admin Geography,% Area of Domestic Buildings,% Area of Domestic Gardens,% Area of Non Domestic Buildings,% Area of Road,% Area of Rail,% Area of Path,% Area of Greenspace,% Area of Water,% Area of Other Land Uses,% Area of Unclassified Land,% Total Area of All Land Types,Quality of Fit Indicator,Cluster
576,00BHGJ,Waltham Forest,Hoe Street,216.58,326.99,67.15,219.43,4.16,13.68,159.07,0.0,85.52,0.0,1092.59,1097.18,19.8,29.9,6.1,20.1,0.4,1.3,14.6,0.0,7.8,0.0,100.0,-0.42,3
577,00BHGK,Waltham Forest,Larkswood,231.7,655.0,70.52,260.9,0.0,26.07,676.71,0.91,144.77,0.0,2066.57,2068.95,11.2,31.7,3.4,12.6,0.0,1.3,32.7,0.0,7.0,0.0,100.0,-0.11,2
578,00BHGL,Waltham Forest,Lea Bridge,230.68,392.52,252.25,309.45,22.56,27.76,982.52,47.62,365.59,0.0,2630.95,2645.38,8.8,14.9,9.6,11.8,0.9,1.1,37.3,1.8,13.9,0.0,100.0,-0.55,0
579,00BHGM,Waltham Forest,Leyton,181.51,340.42,153.1,298.76,144.07,27.2,566.59,10.5,304.91,0.0,2027.07,2035.97,9.0,16.8,7.6,14.7,7.1,1.3,28.0,0.5,15.0,0.0,100.0,-0.44,0
580,00BHGN,Waltham Forest,Leytonstone,228.08,444.96,73.39,301.02,16.52,11.0,115.97,0.0,95.79,0.64,1287.38,1310.3,17.7,34.6,5.7,23.4,1.3,0.9,9.0,0.0,7.4,0.0,100.0,-1.75,3
581,00BHGP,Waltham Forest,Markhouse,212.9,302.91,59.08,223.07,29.65,16.32,460.34,16.22,129.93,0.0,1450.42,1453.86,14.7,20.9,4.1,15.4,2.0,1.1,31.7,1.1,9.0,0.0,100.0,-0.24,2
582,00BHGQ,Waltham Forest,Valley,232.5,623.82,123.6,296.18,0.0,24.56,401.75,45.88,203.34,0.0,1951.62,1980.83,11.9,32.0,6.3,15.2,0.0,1.3,20.6,2.4,10.4,0.0,100.0,-1.47,2
583,00BHGR,Waltham Forest,William Morris,205.23,347.93,81.95,206.67,0.0,10.39,53.52,4.15,75.93,0.0,985.77,998.52,20.8,35.3,8.3,21.0,0.0,1.1,5.4,0.4,7.7,0.0,100.0,-1.28,3
584,00BHGS,Waltham Forest,Wood Street,208.96,426.77,81.59,255.64,16.18,12.08,709.5,11.53,121.35,0.0,1843.59,1844.51,11.3,23.1,4.4,13.9,0.9,0.7,38.5,0.6,6.6,0.0,100.0,-0.05,2
585,00BJFZ,Wandsworth,Balham,271.72,376.21,70.91,262.65,0.55,10.05,138.14,0.01,79.2,0.0,1209.44,1207.89,22.5,31.1,5.9,21.7,0.0,0.8,11.4,0.0,6.5,0.0,100.0,0.13,3
586,00BJGA,Wandsworth,Bedford,261.16,401.55,37.46,256.43,79.15,20.51,715.4,14.01,62.93,0.0,1848.6,1803.66,14.1,21.7,2.0,13.9,4.3,1.1,38.7,0.8,3.4,0.0,100.0,2.49,2
587,00BJGB,Wandsworth,Earlsfield,233.55,335.28,136.21,268.65,81.2,10.66,236.24,17.75,153.41,0.0,1472.96,1410.5,15.9,22.8,9.2,18.2,5.5,0.7,16.0,1.2,10.4,0.0,100.0,4.43,3
588,00BJGC,Wandsworth,East Putney,236.8,562.47,107.12,303.38,2.95,14.03,186.67,0.44,185.44,0.0,1599.32,1609.24,14.8,35.2,6.7,19.0,0.2,0.9,11.7,0.0,11.6,0.0,100.0,-0.62,2
589,00BJGD,Wandsworth,Fairfield,222.23,287.62,156.96,335.2,1.9,10.34,89.97,29.09,241.11,0.0,1374.41,1455.01,16.2,20.9,11.4,24.4,0.1,0.8,6.5,2.1,17.5,0.0,100.0,-5.54,3
590,00BJGE,Wandsworth,Furzedown,260.97,485.35,49.61,272.35,68.58,14.96,222.3,5.05,91.97,0.0,1471.13,1413.27,17.7,33.0,3.4,18.5,4.7,1.0,15.1,0.3,6.3,0.0,100.0,4.09,2
591,00BJGF,Wandsworth,Graveney,242.75,349.18,68.47,235.19,7.03,5.67,41.43,2.78,66.19,0.0,1018.69,1007.67,23.8,34.3,6.7,23.1,0.7,0.6,4.1,0.3,6.5,0.0,100.0,1.09,3
592,00BJGG,Wandsworth,Latchmere,149.07,150.94,84.73,255.84,332.95,13.07,205.84,0.0,128.82,0.0,1321.27,1084.77,11.3,11.4,6.4,19.4,25.2,1.0,15.6,0.0,9.7,0.0,100.0,21.8,0
593,00BJGH,Wandsworth,Nightingale,266.17,409.05,85.06,246.45,6.25,9.92,107.13,0.04,85.37,0.0,1215.43,1231.36,21.9,33.7,7.0,20.3,0.5,0.8,8.8,0.0,7.0,0.0,100.0,-1.29,3
594,00BJGJ,Wandsworth,Northcote,278.96,308.35,73.01,284.32,52.59,19.77,553.33,10.51,64.11,0.0,1644.93,1678.63,17.0,18.7,4.4,17.3,3.2,1.2,33.6,0.6,3.9,0.0,100.0,-2.01,2
595,00BJGK,Wandsworth,Queenstown,167.93,126.57,399.56,367.05,233.28,43.97,876.9,152.77,579.95,0.0,2947.99,3207.78,5.7,4.3,13.6,12.5,7.9,1.5,29.7,5.2,19.7,0.0,100.0,-8.1,0
596,00BJGL,Wandsworth,Roehampton,155.3,385.52,154.8,382.66,0.0,76.36,2939.17,37.66,285.22,0.0,4416.7,4423.94,3.5,8.7,3.5,8.7,0.0,1.7,66.5,0.9,6.5,0.0,100.0,-0.16,4
598,00BJGN,Wandsworth,Shaftesbury,256.53,249.41,59.56,240.02,6.36,5.58,58.6,0.0,45.57,0.0,921.63,947.71,27.8,27.1,6.5,26.0,0.7,0.6,6.4,0.0,4.9,0.0,100.0,-2.75,3
599,00BJGP,Wandsworth,Southfields,264.73,405.87,162.67,263.84,14.54,14.29,248.84,5.66,140.72,0.0,1521.15,1521.65,17.4,26.7,10.7,17.3,1.0,0.9,16.4,0.4,9.3,0.0,100.0,-0.03,3
600,00BJGQ,Wandsworth,Thamesfield,260.61,389.76,134.21,288.04,33.84,7.97,379.22,147.5,133.51,0.0,1774.67,1921.43,14.7,22.0,7.6,16.2,1.9,0.4,21.4,8.3,7.5,0.0,100.0,-7.64,2
601,00BJGR,Wandsworth,Tooting,241.27,347.54,131.19,266.68,0.0,14.82,428.79,0.15,167.35,0.0,1597.79,1604.45,15.1,21.8,8.2,16.7,0.0,0.9,26.8,0.0,10.5,0.0,100.0,-0.42,2
602,00BJGS,Wandsworth,Wandsworth Common,287.09,620.27,91.77,369.64,15.55,48.84,1097.93,10.37,189.22,0.0,2730.68,2760.01,10.5,22.7,3.4,13.5,0.6,1.8,40.2,0.4,6.9,0.0,100.0,-1.06,2
603,00BJGT,Wandsworth,West Hill,196.47,476.28,91.1,260.57,8.64,28.82,401.73,1.03,205.86,0.0,1670.51,1688.41,11.8,28.5,5.5,15.6,0.5,1.7,24.0,0.1,12.3,0.0,100.0,-1.06,2
604,00BJGU,Wandsworth,West Putney,249.51,669.49,105.3,317.1,0.01,17.9,336.86,3.37,143.43,0.0,1842.96,1846.28,13.5,36.3,5.7,17.2,0.0,1.0,18.3,0.2,7.8,0.0,100.0,-0.18,2
605,00BKGA,Westminster,Abbey Road,175.67,390.91,91.89,245.67,0.94,2.08,84.38,0.05,103.93,0.0,1095.52,1094.91,16.0,35.7,8.4,22.4,0.1,0.2,7.7,0.0,9.5,0.0,100.0,0.06,3
606,00BKGB,Westminster,Bayswater,116.94,110.56,46.76,134.81,40.94,2.99,25.07,0.0,26.93,0.0,504.98,518.02,23.2,21.9,9.3,26.7,8.1,0.6,5.0,0.0,5.3,0.0,100.0,-2.52,3
607,00BKGC,Westminster,Bryanston and Dorset Square,154.74,39.72,185.94,260.15,7.95,5.16,25.76,0.0,42.36,0.0,721.78,722.75,21.4,5.5,25.8,36.0,1.1,0.7,3.6,0.0,5.9,0.0,100.0,-0.13,3
608,00BKGD,Westminster,Churchill,62.88,49.34,83.3,119.43,48.69,6.56,54.41,41.63,100.23,0.0,566.47,609.19,11.1,8.7,14.7,21.1,8.6,1.2,9.6,7.3,17.7,0.0,100.0,-7.01,0
609,00BKGE,Westminster,Church Street,61.47,36.59,74.02,130.91,16.43,5.99,52.73,2.32,65.94,0.0,446.39,444.27,13.8,8.2,16.6,29.3,3.7,1.3,11.8,0.5,14.8,0.0,100.0,0.48,0
610,00BKGF,Westminster,Harrow Road,124.02,125.79,36.92,135.75,0.0,5.45,19.57,9.28,41.68,0.0,498.44,494.69,24.9,25.2,7.4,27.2,0.0,1.1,3.9,1.9,8.4,0.0,100.0,0.76,3
611,00BKGG,Westminster,Hyde Park,182.51,45.03,180.85,299.4,20.96,4.89,124.36,16.5,89.33,0.0,963.83,958.58,18.9,4.7,18.8,31.1,2.2,0.5,12.9,1.7,9.3,0.0,100.0,0.55,3
612,00BKGH,Westminster,Knightsbridge and Belgravia,275.39,100.61,209.53,535.49,0.0,221.02,1861.39,195.78,192.02,0.0,3591.24,3593.33,7.7,2.8,5.8,14.9,0.0,6.2,51.8,5.5,5.3,0.0,100.0,-0.06,0
613,00BKGJ,Westminster,Lancaster Gate,153.52,64.78,108.95,200.08,1.4,2.47,57.57,0.0,43.92,0.0,632.68,630.32,24.3,10.2,17.2,31.6,0.2,0.4,9.1,0.0,6.9,0.0,100.0,0.37,3
614,00BKGK,Westminster,Little Venice,114.43,119.66,41.34,165.01,0.0,8.11,117.43,21.48,43.25,0.0,630.7,635.76,18.1,19.0,6.6,26.2,0.0,1.3,18.6,3.4,6.9,0.0,100.0,-0.8,3
615,00BKGL,Westminster,Maida Vale,70.34,101.44,64.95,140.6,0.0,3.92,161.87,0.0,102.91,0.0,646.02,646.27,10.9,15.7,10.1,21.8,0.0,0.6,25.1,0.0,15.9,0.0,100.0,-0.04,0
616,00BKGM,Westminster,Marylebone High Street,149.18,42.61,327.22,341.4,0.0,6.48,73.05,0.0,60.35,0.0,1000.3,1001.26,14.9,4.3,32.7,34.1,0.0,0.6,7.3,0.0,6.0,0.0,100.0,-0.1,0
617,00BKGN,Westminster,Queen's Park,173.39,153.33,25.22,175.29,0.0,3.99,27.98,0.0,25.05,0.0,584.25,583.27,29.7,26.2,4.3,30.0,0.0,0.7,4.8,0.0,4.3,0.0,100.0,0.17,3
618,00BKGP,Westminster,Regent's Park,128.41,139.17,181.73,310.85,4.56,97.75,1063.15,108.16,232.19,0.0,2265.98,2256.37,5.7,6.1,8.0,13.7,0.2,4.3,46.9,4.8,10.2,0.0,100.0,0.43,0
619,00BKGQ,Westminster,St James's,223.36,41.93,920.52,819.78,3.28,67.35,689.05,292.03,359.07,0.0,3416.37,3467.63,6.5,1.2,26.9,24.0,0.1,2.0,20.2,8.5,10.5,0.0,100.0,-1.48,0
620,00BKGR,Westminster,Tachbrook,54.77,31.55,60.68,112.19,0.0,4.77,43.31,283.96,52.16,0.0,643.4,443.73,8.5,4.9,9.4,17.4,0.0,0.7,6.7,44.1,8.1,0.0,100.0,45.0,1
621,00BKGS,Westminster,Vincent Square,65.52,19.78,163.46,186.41,0.0,3.99,69.51,160.0,99.33,0.0,768.01,685.94,8.5,2.6,21.3,24.3,0.0,0.5,9.1,20.8,12.9,0.0,100.0,11.96,0
622,00BKGT,Westminster,Warwick,134.4,53.64,106.87,198.4,21.74,5.65,28.24,0.0,31.64,0.0,580.57,573.58,23.1,9.2,18.4,34.2,3.7,1.0,4.9,0.0,5.4,0.0,100.0,1.22,3
623,00BKGU,Westminster,Westbourne,65.13,61.73,87.55,153.61,38.77,14.99,127.51,16.38,97.88,0.0,663.56,674.34,9.8,9.3,13.2,23.1,5.8,2.3,19.2,2.5,14.8,0.0,100.0,-1.6,0
624,00BKGW,Westminster,West End,280.02,31.14,841.44,637.04,0.0,10.81,69.15,0.01,125.5,0.0,1995.11,1995.72,14.0,1.6,42.2,31.9,0.0,0.5,3.5,0.0,6.3,0.0,100.0,-0.03,0
