"priceper","year","dateoftransfer","propertytype","duration","price","postcode","lad23cd","transactionid","lmk_key","tfarea","numberrooms","classt","CURRENT_ENERGY_EFFICIENCY","POTENTIAL_ENERGY_EFFICIENCY","CONSTRUCTION_AGE_BAND"
8849.55752212389,2019,2019-03-14,"F","L",800000,"EC4R 0DR","E09000001","{85866A65-090E-143F-E053-6B04A8C06A15}","371462890942009092717453461712758",90.4,3,11,63,81,"England and Wales: 2003-2006"
5309.73451327434,2006,2006-07-03,"F","L",480000,"EC4R 0DR","E09000001","{E32997FC-88B0-4270-8107-22EDFFA43DD3}","371462890942009092717453461712758",90.4,3,11,63,81,"England and Wales: 2003-2006"
14341.3111111111,2015,2015-01-09,"F","L",645359,"EC2Y 5AG","E09000001","{982DE37C-24B9-41C1-87BD-54C84236A00D}","1185988489022014080615221096658714",45,NA,11,85,85,"NO DATA!"
4545.33617424242,2000,2000-03-08,"F","L",191995,"EC4V 3PL","E09000001","{349B7556-7DB1-4B27-AD20-FB26DF775664}","702910679342011102107135099192508",42.24,2,11,78,79,"England and Wales: 1996-2002"
13235.2941176471,2014,2014-08-04,"F","L",675000,"EC1A 7HN","E09000001","{A85E1FAF-735C-47B6-92FD-13317FEC90F4}","310068659922014031408221343378934",51,2,12,68,81,"England and Wales: before 1900"
8505.56438791733,2013,2013-02-10,"F","L",535000,"EC4Y 0AY","E09000001","{FC8ADC8C-EE42-4281-B852-E45D930B67C7}","746326339142012020314584093520778",62.9,2,12,47,48,"England and Wales: before 1900"
2257.55166931638,1996,1996-08-05,"F","L",142000,"EC4Y 0AY","E09000001","{EAC6B554-27CF-4531-9EEB-2B81B1B21583}","746326339142012020314584093520778",62.9,2,12,47,48,"England and Wales: before 1900"
5087.44038155803,2006,2006-08-14,"F","L",320000,"EC4Y 0AY","E09000001","{90791342-CE8B-40F6-A8AB-CF576BFD9936}","746326339142012020314584093520778",62.9,2,12,47,48,"England and Wales: before 1900"
6279.80922098569,2007,2007-04-12,"F","L",395000,"EC4Y 0AY","E09000001","{81AC445D-1C17-4DEB-B874-0B2B399F0A93}","746326339142012020314584093520778",62.9,2,12,47,48,"England and Wales: before 1900"
3100.15898251192,2000,2000-02-18,"F","L",195000,"EC4Y 0AY","E09000001","{74B35DF0-3AF3-4725-BFE0-8D580D23E47F}","746326339142012020314584093520778",62.9,2,12,47,48,"England and Wales: before 1900"
12109.375,2022,2022-12-12,"F","L",775000,"EC2Y 5AG","E09000001","{09266DDB-78BD-AF90-E063-4704A8C02087}","1186254753432014080615233186278808",64,NA,11,83,83,"NO DATA!"
12925,2014,2014-12-17,"F","L",827200,"EC2Y 5AG","E09000001","{6D5C5849-1F87-4101-970E-68A7208454A0}","1186254753432014080615233186278808",64,NA,11,83,83,"NO DATA!"
